"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"18","psu","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА ","PRIMARY selection units","г. Москва | Московская область | Томск: Томская область | г. Санкт-Петербург | Соликамск и Соликамский р-н: Пермский край | Казань: Республика Татарстан",8149,0
"19","qid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА ","Identification variables 21 Round","1060008 | 1370200 | 1383791 | 1420203 | 1000351 |  100069",7192,957
"20","r1.n","Сколько человек включая Вас в Вашей семье домохозяйстве? ","How many people including yourself in your household the household?"," 2 |  1 |  3 |  4 |  5 |  6",631,7518
"21","r1.o","Сколько человек включая Вас в Вашей семье домохозяйстве? ","How many people including yourself in your household the household?"," 2 |  3 |  1 |  4 |  5 |  6",7518,631
"22","ra2","НОМЕР СЕМЬИ ","FAMILY ROOM","  41 |  127 |   59 |   29 |   35 |  102",8149,0
"23","ra3","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ? ","AT LEAST one family member had participated in the study?","Да | Нет",8149,0
"24","ra4.1","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ ЧИСЛО ","DATE OF INTERVIEW NUMBER"," 9 | 10 |  8 | 12 | 19 |  4",8149,0
"25","ra4.2","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ МЕСЯЦ ","Date of interview month","Октябрь | Ноябрь | Декабрь | Январь | Февраль | Сентябрь",8149,0
"26","ra5.1","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ ЧАСОВ ","The interviews lasted CLOCK","",0,8149
"27","ra5.2","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ МИНУТ ","The interviews lasted minutes","40 | 50 |  0 | 45 | 30 | 35",8149,0
"28","ra8","НОМЕР ЧЛЕНА СЕМЬИ КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА ","NUMBER family members who answer questions FAMILY QUESTIONNAIRE"," 1 |  2 |  3 |  4 |  5 |  6",8149,0
"29","rb10.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",169,7980
"30","rb10.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Да | Нет",231,7918
"31","rb102.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться | Он(она) живет по данному адресу, в другом домохозяйстве | НЕТ ОТВЕТА | Отсутствует по другой причине, причина не указана | (Умер/умерла) - инфаркт",102,8047
"32","rb10.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","12 |  2 |  1 |  4 | 10 | 11",170,7979
"33","rb10.4","Какого пола этот человек? ","What sex is this person?","мужской | женский",170,7979
"34","rb10.5","В каком году (он/она) родились? ","In what year did (he / she) born?","2013 | 2011 | 2012 | 2008 | 2007 | 2010",170,7979
"35","rb10.9.1","Кем 10-ый член семьи приходится 1-му члену семьи? ","Who the 10th member of the family has to 1st family member?","внук/внучка | сын/дочь | зять/невестка | другие родственники | правнук/правнучка | дядя/тетя",33,8116
"36","rb10.9.2","Кем 10-ый член семьи приходится 2-му члену семьи? ","Who the 10th member of the family has to 2nd family member?","внук/внучка | сын/дочь | зять/невестка | другие родственники | муж/жена (зарегистрированный или не зарегистрированный) | неродной сын/неродная дочь",45,8104
"37","rb10.9.3","Кем 10-ый член семьи приходится 3-му члену семьи? ","Who the 10th member of the family has to 3rd family member?","сын/дочь | муж/жена (зарегистрированный или не зарегистрированный) | другие родственники | внук/внучка | племянник/племянница | родной брат/родная сестра",63,8086
"38","rb10.9.4","Кем 10-ый член семьи приходится 4-му члену семьи? ","Who the 10th member of the family has to the 4th member of the family?","сын/дочь | племянник/племянница | муж/жена (зарегистрированный или не зарегистрированный) | другие лица, не являющиеся родственниками | зять/невестка | внук/внучка",60,8089
"39","rb10.9.5","Кем 10-ый член семьи приходится 5-му члену семьи? ","Who the 10th member of the family has to 5th family member?","сын/дочь | племянник/племянница | муж/жена (зарегистрированный или не зарегистрированный) | другие родственники | отчим/мачеха | родной брат/родная сестра",61,8088
"40","rb10.9.6","Кем 10-ый член семьи приходится 6-му члену семьи? ","Who the 10th member of the family has to the 6th member of the family?","муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница | родной брат/родная сестра | сын/дочь | внук/внучка | другие родственники",58,8091
"41","rb10.9.7","Кем 10-ый член семьи приходится 7-му члену семьи? ","Who the 10th member of the family has to the 7th member of the family?","сын/дочь | родной брат/родная сестра | отчим/мачеха | племянник/племянница | другие родственники | муж/жена (зарегистрированный или не зарегистрированный)",71,8078
"42","rb10.9.8","Кем 10-ый член семьи приходится 8-му члену семьи? ","Who the 10th member of the family has to the 8th member of the family?","сын/дочь | родной брат/родная сестра | другие родственники | отчим/мачеха | отец/мать | внук/внучка",90,8059
"43","rb10.9.9","Кем 10-ый член семьи приходится 9-му члену семьи? ","Who the 10th member of the family has to 9th family member?","родной брат/родная сестра | сын/дочь | отец/мать | двоюродный брат/двоюродная сестра | муж/жена (зарегистрированный или не зарегистрированный) | отчим/мачеха",110,8039
"44","rb1.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",6357,1792
"45","rb11.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",88,8061
"46","rb11.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Нет | Да",140,8009
"47","rb112.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться | Он(она) живет по данному адресу, в другом домохозяйстве | НЕТ ОТВЕТА | (Умер/умерла) - инфаркт | (Умер/умерла) - несчастный случай, отравление, травма",71,8078
"48","rb11.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","12 |  3 |  1 |  2 |  5 | 11",91,8058
"49","rb11.4","Какого пола этот человек? ","What sex is this person?","женский | мужской",91,8058
"50","rb11.5","В каком году (он/она) родились? ","In what year did (he / she) born?","    2013 |     2010 |     2004 |     2008 |     2009 |     2012",91,8058
"51","rb11.9.1","Кем 11-ый член семьи приходится 1-му члену семьи? ","Who the 11th member of the family has to 1st family member?","внук/внучка | другие родственники | зять/невестка | правнук/правнучка | племянник/племянница | сын/дочь",19,8130
"52","rb119.10","Кем 11-ый член семьи приходится 10-му члену семьи? ","Who the 11th member of the family has to the 10th member of the family?","сын/дочь | родной брат/родная сестра | дедушка/бабушка | отчим/мачеха | двоюродный брат/двоюродная сестра | другие родственники",62,8087
"53","rb11.9.2","Кем 11-ый член семьи приходится 2-му члену семьи? ","Who the 11th member of the family has to 2nd family member?","внук/внучка | сын/дочь | другие родственники | двоюродный брат/двоюродная сестра | зять/невестка | муж/жена (зарегистрированный или не зарегистрированный)",22,8127
"54","rb11.9.3","Кем 11-ый член семьи приходится 3-му члену семьи? ","Who the 11th member of the family has to 3rd family member?","сын/дочь | муж/жена (зарегистрированный или не зарегистрированный) | другие родственники | племянник/племянница | внук/внучка | дядя/тетя",29,8120
"55","rb11.9.4","Кем 11-ый член семьи приходится 4-му члену семьи? ","Who the 11th member of the family has to the 4th member of the family?","сын/дочь | муж/жена (зарегистрированный или не зарегистрированный) | внук/внучка | другие родственники | племянник/племянница | тесть/теща/свекор/свекровь",32,8117
"56","rb11.9.5","Кем 11-ый член семьи приходится 5-му члену семьи? ","Who the 11th member of the family has to the 5th member of the family?","сын/дочь | родной брат/родная сестра | двоюродный брат/двоюродная сестра | другие родственники | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница",27,8122
"57","rb11.9.6","Кем 11-ый член семьи приходится 6-му члену семьи? ","Who the 11th member of the family has to the 6th member of the family?","сын/дочь | племянник/племянница | родной брат/родная сестра | другие родственники | двоюродный брат/двоюродная сестра | дедушка/бабушка",28,8121
"58","rb11.9.7","Кем 11-ый член семьи приходится 7-му члену семьи? ","Who the 11th member of the family has to the 7th member of the family?","сын/дочь | племянник/племянница | родной брат/родная сестра | другие родственники | внук/внучка | дядя/тетя",26,8123
"59","rb11.9.8","Кем 11-ый член семьи приходится 8-му члену семьи? ","Who the 11th member of the family has to the 8th member of the family?","сын/дочь | другие родственники | родной брат/родная сестра | внук/внучка | муж/жена (зарегистрированный или не зарегистрированный) | отец/мать",27,8122
"60","rb11.9.9","Кем 11-ый член семьи приходится 9-му члену семьи? ","Who the 11th member of the family has to 9th family member?","родной брат/родная сестра | сын/дочь | отец/мать | двоюродный брат/двоюродная сестра | другие родственники | дядя/тетя",37,8112
"61","rb1.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Да | Нет",6953,1196
"62","rb12.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",56,8093
"63","rb12.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Нет | Да",97,8052
"64","rb122.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться | Он(она) живет по данному адресу, в другом домохозяйстве | Он(она) уехал(а) в другой населенный пункт учиться",50,8099
"65","rb1.2.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться | Он(она) живет по данному адресу, в другом домохозяйстве | (Умер/умерла) - инсульт | (Умер/умерла) - инфаркт | (Умер/умерла) - рак",1167,6982
"66","rb12.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","12 |  7 |  8 |  1 | 11 |  3",57,8092
"67","rb12.4","Какого пола этот человек? ","What sex is this person?","мужской | женский",57,8092
"68","rb12.5","В каком году (он/она) родились? ","In what year did (he / she) born?","2013 | 2008 | 2009 | 2010 | 2012 | 1999",57,8092
"69","rb12.9.1","Кем 12-ый член семьи приходится 1-му члену семьи? ","Who the 12th member of the family has to 1st family member?","внук/внучка | другие родственники | правнук/правнучка | другие лица, не являющиеся родственниками | муж/жена (зарегистрированный или не зарегистрированный) | родной брат/родная сестра",10,8139
"70","rb129.10","Кем 12-ый член семьи приходится 10-му члену семьи? ","Who the 12th member of the family has to the 10th member of the family?","родной брат/родная сестра | сын/дочь | двоюродный брат/двоюродная сестра | другие родственники | сводный брат/сводная сестра | дедушка/бабушка",32,8117
"71","rb129.11","Кем 12-ый член семьи приходится 11-му члену семьи? ","Who the 12th member of the family has to the 11th member of the family?","родной брат/родная сестра | сын/дочь | отец/мать | двоюродный брат/двоюродная сестра | дядя/тетя | сводный брат/сводная сестра",38,8111
"72","rb12.9.2","Кем 12-ый член семьи приходится 2-му члену семьи? ","Who the 12th member of the family has to 2nd family member?","внук/внучка | сын/дочь | другие родственники | дядя/тетя | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница",13,8136
"73","rb12.9.3","Кем 12-ый член семьи приходится 3-му члену семьи? ","Who the 12th member of the family has to 3rd family member?","сын/дочь | другие родственники | внук/внучка | неродной сын/неродная дочь | племянник/племянница | муж/жена (зарегистрированный или не зарегистрированный)",18,8131
"74","rb12.9.4","Кем 12-ый член семьи приходится 4-му члену семьи? ","Who the 12th member of the family has to the 4th member of the family?","сын/дочь | внук/внучка | муж/жена (зарегистрированный или не зарегистрированный) | родной брат/родная сестра | другие родственники | племянник/племянница",21,8128
"75","rb12.9.5","Кем 12-ый член семьи приходится 5-му члену семьи? ","Who the 12th member of the family has to the 5th member of the family?","сын/дочь | другие родственники | племянник/племянница | двоюродный брат/двоюродная сестра | правнук/правнучка | родной брат/родная сестра",19,8130
"76","rb12.9.6","Кем 12-ый член семьи приходится 6-му члену семьи? ","Who the 12th member of the family has to the 6th member of the family?","родной брат/родная сестра | сын/дочь | двоюродный брат/двоюродная сестра | племянник/племянница | другие родственники | неродной сын/неродная дочь",16,8133
"77","rb12.9.7","Кем 12-ый член семьи приходится 7-му члену семьи? ","Who the 12th member of the family has to the 7th member of the family?","родной брат/родная сестра | сын/дочь | племянник/племянница | другие лица, не являющиеся родственниками | другие родственники | муж/жена (зарегистрированный или не зарегистрированный)",18,8131
"78","rb12.9.8","Кем 12-ый член семьи приходится 8-му члену семьи? ","Who the 12th member of the family has to the 8th member of the family?","сын/дочь | родной брат/родная сестра | внук/внучка | другие родственники | дядя/тетя | двоюродный брат/двоюродная сестра",21,8128
"79","rb12.9.9","Кем 12-ый член семьи приходится 9-му члену семьи? ","Who the 12th member of the family has to 9th family member?","родной брат/родная сестра | дядя/тетя | сын/дочь | другие родственники | внук/внучка | дедушка/бабушка",24,8125
"80","rb1.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","1.2e+01 | 1.0e+01 | 1.1e+01 | 6.0e+00 | 9.0e+00 | 3.0e+00",6417,1732
"81","rb13.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",38,8111
"82","rb13.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Да | Нет",62,8087
"83","rb132.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться",29,8120
"84","rb13.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","",0,8149
"85","rb13.4","Какого пола этот человек? ","What sex is this person?","женский | мужской",38,8111
"86","rb13.5","В каком году (он/она) родились? ","In what year did (he / she) born?","2008 | 1982 | 2001 | 2003 | 2009 | 1980",38,8111
"87","rb13.9.1","Кем 13-ый член семьи приходится 1-му члену семьи? ","Who the 13th member of the family has to 1st family member?","внук/внучка | другие родственники | другие лица, не являющиеся родственниками | сын/дочь",6,8143
"88","rb139.10","Кем 13-ый член семьи приходится 10-му члену семьи? ","Who the 13th member of the family has to the 10th member of the family?","родной брат/родная сестра | сын/дочь | двоюродный брат/двоюродная сестра | другие родственники | дядя/тетя | племянник/племянница",16,8133
"89","rb139.11","Кем 13-ый член семьи приходится 11-му члену семьи? ","Who the 13th member of the family has to the 11th member of the family?","родной брат/родная сестра | сын/дочь | другие родственники | отчим/мачеха | двоюродный брат/двоюродная сестра | муж/жена (зарегистрированный или не зарегистрированный)",17,8132
"90","rb139.12","Кем 13-ый член семьи приходится 12-му члену семьи? ","Who the 13th member of the family has to the 12th member of the family?","родной брат/родная сестра | сын/дочь | другие лица, не являющиеся родственниками | отец/мать | двоюродный брат/двоюродная сестра | муж/жена (зарегистрированный или не зарегистрированный)",21,8128
"91","rb13.9.2","Кем 13-ый член семьи приходится 2-му члену семьи? ","Who the 13th member of the family has to 2nd family member?","внук/внучка | другие лица, не являющиеся родственниками | другие родственники | племянник/племянница | сын/дочь",8,8141
"92","rb13.9.3","Кем 13-ый член семьи приходится 3-му члену семьи? ","Who the 13th member of the family has to 3rd family member?","сын/дочь | муж/жена (зарегистрированный или не зарегистрированный) | другие лица, не являющиеся родственниками | другие родственники | родной брат/родная сестра",14,8135
"93","rb13.9.4","Кем 13-ый член семьи приходится 4-му члену семьи? ","Who the 13th member of the family has to the 4th member of the family?","сын/дочь | зять/невестка | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница | родной брат/родная сестра",11,8138
"94","rb13.9.5","Кем 13-ый член семьи приходится 5-му члену семьи? ","Who the 13th member of the family has to the 5th member of the family?","сын/дочь | двоюродный брат/двоюродная сестра | другие лица, не являющиеся родственниками | другие родственники | муж/жена (зарегистрированный или не зарегистрированный) | родной брат/родная сестра",11,8138
"95","rb13.9.6","Кем 13-ый член семьи приходится 6-му члену семьи? ","Who the 13th member of the family has to the 6th member of the family?","родной брат/родная сестра | муж/жена (зарегистрированный или не зарегистрированный) | двоюродный брат/двоюродная сестра | другие родственники | сын/дочь",10,8139
"96","rb13.9.7","Кем 13-ый член семьи приходится 7-му члену семьи? ","Who the 13th member of the family has to the 7th member of the family?","сын/дочь | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница | другие лица, не являющиеся родственниками | другие родственники | зять/невестка",11,8138
"97","rb13.9.8","Кем 13-ый член семьи приходится 8-му члену семьи? ","Who the 13th member of the family has to the 8th member of the family?","другие родственники | внук/внучка | двоюродный брат/двоюродная сестра | другие лица, не являющиеся родственниками | зять/невестка | отчим/мачеха",9,8140
"98","rb13.9.9","Кем 13-ый член семьи приходится 9-му члену семьи? ","Who the 13th member of the family has to 9th family member?","муж/жена (зарегистрированный или не зарегистрированный) | родной брат/родная сестра | двоюродный брат/двоюродная сестра | другие лица, не являющиеся родственниками | другие родственники | зять/невестка",15,8134
"99","rb1.4","Какого пола этот человек? ","What sex is this person?","женский | мужской",6417,1732
"100","rb14.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",23,8126
"101","rb14.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Да | Нет",38,8111
"102","rb142.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться | Он(она) живет по данному адресу, в другом домохозяйстве",19,8130
"103","rb14.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","12 | 11 |  1 | 10",23,8126
"104","rb14.4","Какого пола этот человек? ","What sex is this person?","женский | мужской",23,8126
"105","rb14.5","В каком году (он/она) родились? ","In what year did (he / she) born?","2012 | 1990 | 2001 | 2006 | 2011 | 1938",23,8126
"106","rb14.9.1","Кем 14-ый член семьи приходится 1-му члену семьи? ","Who the 14th member of the family has to 1st family member?","внук/внучка | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница",4,8145
"107","rb149.10","Кем 14-ый член семьи приходится 10-му члену семьи? ","Who the 14th member of the family has to the 10th member of the family?","родной брат/родная сестра | двоюродный брат/двоюродная сестра | племянник/племянница | другие родственники | муж/жена (зарегистрированный или не зарегистрированный) | отец/мать",12,8137
"108","rb149.11","Кем 14-ый член семьи приходится 11-му члену семьи? ","Who the 14th member of the family has to the 11th member of the family?","другие родственники | родной брат/родная сестра | внук/внучка | двоюродный брат/двоюродная сестра | дядя/тетя",7,8142
"109","rb149.12","Кем 14-ый член семьи приходится 12-му члену семьи? ","Who the 14th member of the family has to the 12th member of the family?","племянник/племянница | родной брат/родная сестра | сын/дочь | другие родственники | дядя/тетя | правнук/правнучка",10,8139
"110","rb149.13","Кем 14-ый член семьи приходится 13-му члену семьи? ","Who the 14th member of the family has to the 13th member of the family?","сын/дочь | родной брат/родная сестра | другие родственники | двоюродный брат/двоюродная сестра | дедушка/бабушка | отец/мать",15,8134
"111","rb14.9.2","Кем 14-ый член семьи приходится 2-му члену семьи? ","Who the 14th member of the family has to 2nd family member?","внук/внучка | двоюродный брат/двоюродная сестра",3,8146
"112","rb14.9.3","Кем 14-ый член семьи приходится 3-му члену семьи? ","Who the 14th member of the family has to 3rd family member?","племянник/племянница | сын/дочь | другие родственники",5,8144
"113","rb14.9.4","Кем 14-ый член семьи приходится 4-му члену семьи? ","Who the 14th member of the family has to the 4th member of the family?","племянник/племянница | внук/внучка | неродной сын/неродная дочь | сын/дочь | тесть/теща/свекор/свекровь",6,8143
"114","rb14.9.5","Кем 14-ый член семьи приходится 5-му члену семьи? ","Who the 14th member of the family has to the 5th member of the family?","внук/внучка | муж/жена (зарегистрированный или не зарегистрированный) | неродной сын/неродная дочь | племянник/племянница | сын/дочь",5,8144
"115","rb14.9.6","Кем 14-ый член семьи приходится 6-му члену семьи? ","Who the 14th member of the family has to the 6th member of the family?","сын/дочь | двоюродный брат/двоюродная сестра | другие лица, не являющиеся родственниками | племянник/племянница",5,8144
"116","rb14.9.7","Кем 14-ый член семьи приходится 7-му члену семьи? ","Who the 14th member of the family has to the 7th member of the family?","племянник/племянница | сын/дочь",6,8143
"117","rb14.9.8","Кем 14-ый член семьи приходится 8-му члену семьи? ","Who the 14th member of the family has to the 8th member of the family?","сын/дочь | другие родственники",4,8145
"118","rb14.9.9","Кем 14-ый член семьи приходится 9-му члену семьи? ","Who the 14th member of the family has to 9th family member?","родной брат/родная сестра | сын/дочь | двоюродный брат/двоюродная сестра | другие родственники | племянник/племянница",10,8139
"119","rb1.5","В каком году (он/она) родились? ","In what year did (he / she) born?","1956 | 1958 | 1954 | 1960 | 1949 | 1955",6417,1732
"120","rb15.1","Наличие индивидуального вопросника ","Availability of individual questionnaire","есть индивидуальный вопросник",14,8135
"121","rb15.2.1","Сейчас является членом Вашей семьи домохозяйства? ","Who is a member of your family household?","Да | Нет",20,8129
"122","rb152.23","Почему (он/она) больше не является членом Вашей семьи домохозяйства? ","Why did (he / she) is no longer a member of your family household?","Он(она) живет по другому адресу в том же населенном пункте | Он(она) уехал(а) в другой населенный пункт не учиться",10,8139
"123","rb15.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ","How many months out of the past 12 (he / she) live in your household the household?","12 | 11 |  4 |  7 |  8",14,8135
"124","rb15.4","Какого пола этот человек? ","What sex is this person?","мужской | женский",14,8135
"125","rb15.5","В каком году (он/она) родились? ","In what year did (he / she) born?","1932 | 1954 | 1958 | 1972 | 1973 | 1977",14,8135
"126","rb15.9.1","Кем 15-ый член семьи приходится 1-му члену семьи? ","Who the 15th member of the family has to 1st family member?","внук/внучка | муж/жена (зарегистрированный или не зарегистрированный)",3,8146
"127","rb159.10","Кем 15-ый член семьи приходится 10-му члену семьи? ","Who the 15th member of the family has to the 10th member of the family?","сын/дочь | другие лица, не являющиеся родственниками | дядя/тетя | отец/мать",5,8144
"128","rb159.11","Кем 15-ый член семьи приходится 11-му члену семьи? ","Who the 15th member of the family has to the 11th member of the family?","дедушка/бабушка | другие лица, не являющиеся родственниками | дядя/тетя",3,8146
"129","rb159.12","Кем 15-ый член семьи приходится 12-му члену семьи? ","Who the 15th member of the family has to the 12th member of the family?","дядя/тетя | отчим/мачеха",2,8147
"130","rb159.13","Кем 15-ый член семьи приходится 13-му члену семьи? ","Who the 15th member of the family has to the 13th member of the family?","сын/дочь | дедушка/бабушка | другие родственники | отец/мать | родной брат/родная сестра",6,8143
"131","rb159.14","Кем 15-ый член семьи приходится 14-му члену семьи? ","Who the 15th member of the family has to the 14th member of the family?","муж/жена (зарегистрированный или не зарегистрированный) | отчим/мачеха | внук/внучка | дедушка/бабушка | родной брат/родная сестра | сын/дочь",8,8141
"132","rb15.9.2","Кем 15-ый член семьи приходится 2-му члену семьи? ","Who the 15th member of the family has to 2nd family member?","внук/внучка | зять/невестка",2,8147
"133","rb15.9.3","Кем 15-ый член семьи приходится 3-му члену семьи? ","Who the 15th member of the family has to 3rd family member?","муж/жена (зарегистрированный или не зарегистрированный) | сын/дочь",2,8147
"134","rb15.9.4","Кем 15-ый член семьи приходится 4-му члену семьи? ","Who the 15th member of the family has to the 4th member of the family?","сын/дочь",1,8148
"135","rb15.9.5","Кем 15-ый член семьи приходится 5-му члену семьи? ","Who the 15th member of the family has to the 5th member of the family?","муж/жена (зарегистрированный или не зарегистрированный) | неродной сын/неродная дочь",2,8147
"136","rb15.9.6","Кем 15-ый член семьи приходится 6-му члену семьи? ","Who the 15th member of the family has to the 6th member of the family?","зять/невестка | муж/жена (зарегистрированный или не зарегистрированный) | племянник/племянница | сын/дочь",4,8145
